Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,rn
Jamaica,JAM,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,563.01,-0.93,-0.16,1
Japan,JPN,2024,Country or economy,Asia,Asia,0.0,1.0,1.0,1.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,483.43,-9.02,-1.83,1
Jordan,JOR,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,529.79,-12.49,-2.3,1
Kazakhstan,KAZ,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,802.04,-24.62,-2.98,1
Kenya,KEN,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,85.22,-11.66,-12.04,1
Kiribati,KIR,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,500.0,0.0,0.0,1
Korea (the Democratic People's Republic of),PRK,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,340.59,-5.59,-1.61,1
Kosovo,XKX,2025,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,900.94,-23.73,-2.57,1
Kuwait,KWT,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,635.2,-0.94,-0.15,1
Kyrgyzstan,KGZ,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,119.21,-20.5,-14.67,1
Lao People's Democratic Republic (the),LAO,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,232.08,-0.04,-0.02,1
Latin America and Caribbean,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,252.38,-2.01,-0.79,1
Latvia,LVA,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,138.76,4.48,3.34,1
Lebanon,LBN,2024,Country or economy,Asia,Middle East,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,389.51,-59.54,-13.26,1
Lesotho,LSO,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,,,,1
Liberia,LBR,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,315.79,20.71,7.02,1
Libya,LBY,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,826.83,1.64,0.2,1
Lithuania,LTU,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,138.36,21.99,18.9,1
Luxembourg,LUX,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,123.38,-9.07,-6.85,1
Macao,MAC,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,474.36,-10.49,-2.16,1
Madagascar,MDG,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,432.1,8.71,2.06,1
Malawi,MWI,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,54.65,0.0,0.0,1
Malaysia,MYS,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,600.44,-7.44,-1.22,1
Maldives,MDV,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,611.77,0.0,0.0,1
Mali,MLI,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,538.59,2.82,0.53,1
Malta,MLT,2025,Country or economy,Europe,Europe,1.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,484.02,-4.56,-0.93,1
Martinique,MTQ,2023,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,529.8,13.02,2.52,1
Mauritania,MRT,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,512.08,-9.45,-1.81,1
Mauritius,MUS,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,642.23,9.2,1.45,1
Mexico,MEX,2024,Country or economy,North America,Latin America and Caribbean,0.0,1.0,1.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,483.14,-5.91,-1.21,1
Middle East,,2024,Region,,,,,,,,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,635.9,-3.36,-0.53,1
Moldova,MDA,2025,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,633.12,-1.15,-0.18,1
Mongolia,MNG,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,810.66,-5.99,-0.73,1
Montenegro,MNE,2025,Country or economy,Europe,Europe,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,263.16,-158.94,-37.65,1
Montserrat,MSR,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,1000.0,0.0,0.0,1
Morocco,MAR,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,594.81,-21.54,-3.49,1
Mozambique,MOZ,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,129.36,0.6,0.47,1
Myanmar,MMR,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,1.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,502.99,-12.65,-2.45,1
Namibia,NAM,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,48.78,1.16,2.44,1
Nauru,NRU,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,600.0,-150.0,-20.0,1
Nepal,NPL,2024,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,24.26,0.9,3.85,1
Netherlands,NLD,2025,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,253.56,2.84,1.13,1
New Caledonia,NCL,2024,Country or economy,Oceania,Oceania,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,560.9,-5.44,-0.96,1
New Zealand,NZL,2024,Country or economy,Oceania,Oceania,0.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,112.02,24.82,28.46,1
Nicaragua,NIC,2024,Country or economy,North America,Latin America and Caribbean,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,300.89,0.0,0.0,1
Niger (the),NER,2024,Country or economy,Africa,Africa,0.0,0.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,673.68,-6.73,-0.99,1
