month,installer,ci,num_downloads
2024-08-01 00:00:00.000000 UTC,uv,,13235
2024-08-01 00:00:00.000000 UTC,requests,,5773
2024-08-01 00:00:00.000000 UTC,bandersnatch,,2825
2024-08-01 00:00:00.000000 UTC,,,2155
2024-08-01 00:00:00.000000 UTC,Nexus,,2044
2024-08-01 00:00:00.000000 UTC,Browser,,819
2024-08-01 00:00:00.000000 UTC,pdm,,363
2024-08-01 00:00:00.000000 UTC,OS,,63
2024-08-01 00:00:00.000000 UTC,devpi,,17
2024-08-01 00:00:00.000000 UTC,conda,,6
2024-09-01 00:00:00.000000 UTC,pip,,139590
2024-09-01 00:00:00.000000 UTC,pip,true,59332
2024-09-01 00:00:00.000000 UTC,poetry,,29554
2024-09-01 00:00:00.000000 UTC,uv,,19135
2024-09-01 00:00:00.000000 UTC,uv,true,15934
2024-09-01 00:00:00.000000 UTC,requests,,6385
2024-09-01 00:00:00.000000 UTC,bandersnatch,,4722
2024-09-01 00:00:00.000000 UTC,,,2298
2024-09-01 00:00:00.000000 UTC,Nexus,,1472
2024-09-01 00:00:00.000000 UTC,Browser,,789
2024-09-01 00:00:00.000000 UTC,pdm,,265
2024-09-01 00:00:00.000000 UTC,OS,,58
2024-09-01 00:00:00.000000 UTC,devpi,,5
2024-09-01 00:00:00.000000 UTC,conda,,2
2024-09-01 00:00:00.000000 UTC,setuptools,,2
2024-10-01 00:00:00.000000 UTC,pip,,161068
2024-10-01 00:00:00.000000 UTC,pip,true,60323
2024-10-01 00:00:00.000000 UTC,poetry,,32657
2024-10-01 00:00:00.000000 UTC,uv,true,18455
2024-10-01 00:00:00.000000 UTC,requests,,17625
2024-10-01 00:00:00.000000 UTC,uv,,12177
2024-10-01 00:00:00.000000 UTC,bandersnatch,,3391
2024-10-01 00:00:00.000000 UTC,,,2360
2024-10-01 00:00:00.000000 UTC,Browser,,1714
2024-10-01 00:00:00.000000 UTC,Nexus,,1063
2024-10-01 00:00:00.000000 UTC,pdm,,192
